timestamp,open,high,low,close,volume
2019-06-21 16:00:00,32.4800,32.5100,32.4600,32.4600,1632954
2019-06-21 15:55:00,32.5000,32.5100,32.4600,32.4750,1139233
2019-06-21 15:50:00,32.5100,32.5200,32.4900,32.5000,494651
2019-06-21 15:45:00,32.5000,32.5200,32.4801,32.5100,579423
2019-06-21 15:40:00,32.5000,32.5000,32.4800,32.4950,241696
2019-06-21 15:35:00,32.4863,32.5000,32.4800,32.5000,252355
2019-06-21 15:30:00,32.5001,32.5100,32.4800,32.4900,249405
2019-06-21 15:25:00,32.4900,32.5100,32.4815,32.5050,374282
2019-06-21 15:20:00,32.4950,32.5000,32.4847,32.4847,173936
2019-06-21 15:15:00,32.5050,32.5100,32.4900,32.4966,155292
2019-06-21 15:10:00,32.4910,32.5100,32.4850,32.5093,237608
2019-06-21 15:05:00,32.4871,32.5100,32.4800,32.4956,262530
2019-06-21 15:00:00,32.4800,32.4900,32.4700,32.4850,163187
2019-06-21 14:55:00,32.4651,32.4800,32.4601,32.4800,108732
2019-06-21 14:50:00,32.4650,32.4700,32.4500,32.4650,123413
2019-06-21 14:45:00,32.4750,32.4900,32.4600,32.4610,153355
2019-06-21 14:40:00,32.4900,32.5000,32.4732,32.4750,187484
2019-06-21 14:35:00,32.4650,32.4900,32.4543,32.4900,197218
2019-06-21 14:30:00,32.4600,32.4700,32.4500,32.4650,170428
2019-06-21 14:25:00,32.4700,32.4800,32.4500,32.4500,141606
2019-06-21 14:20:00,32.4650,32.4800,32.4600,32.4650,91433
2019-06-21 14:15:00,32.4700,32.4900,32.4600,32.4600,111004
2019-06-21 14:10:00,32.4900,32.5000,32.4700,32.4750,112505
2019-06-21 14:05:00,32.5000,32.5400,32.4900,32.4950,191691
2019-06-21 14:00:00,32.5050,32.5100,32.4900,32.5038,189728
2019-06-21 13:55:00,32.5000,32.5100,32.5000,32.5100,45417
2019-06-21 13:50:00,32.5095,32.5100,32.4900,32.5000,148930
2019-06-21 13:45:00,32.5000,32.5100,32.4900,32.5100,125396
2019-06-21 13:40:00,32.4901,32.5100,32.4900,32.5000,127349
2019-06-21 13:35:00,32.5000,32.5000,32.4850,32.4913,73530
2019-06-21 13:30:00,32.4600,32.5000,32.4600,32.5000,102337
2019-06-21 13:25:00,32.4834,32.4900,32.4600,32.4650,79158
2019-06-21 13:20:00,32.4950,32.5000,32.4700,32.4851,102981
2019-06-21 13:15:00,32.5084,32.5200,32.4900,32.4950,79570
2019-06-21 13:10:00,32.4850,32.5100,32.4700,32.5050,209871
2019-06-21 13:05:00,32.5300,32.5300,32.4800,32.4850,130739
2019-06-21 13:00:00,32.5200,32.5400,32.4900,32.5201,255578
2019-06-21 12:55:00,32.5300,32.5400,32.5000,32.5200,124608
2019-06-21 12:50:00,32.5436,32.5600,32.5200,32.5252,131005
2019-06-21 12:45:00,32.5600,32.5700,32.5300,32.5500,158789
2019-06-21 12:40:00,32.5500,32.5700,32.5200,32.5650,118943
2019-06-21 12:35:00,32.5600,32.5700,32.5400,32.5467,153399
2019-06-21 12:30:00,32.5350,32.5700,32.5331,32.5600,180025
2019-06-21 12:25:00,32.5218,32.5400,32.5136,32.5400,97058
2019-06-21 12:20:00,32.5100,32.5300,32.5000,32.5300,110178
2019-06-21 12:15:00,32.5000,32.5200,32.4800,32.5100,154532
2019-06-21 12:10:00,32.5200,32.5200,32.4800,32.4990,331709
2019-06-21 12:05:00,32.4923,32.5200,32.4800,32.5150,385873
2019-06-21 12:00:00,32.4775,32.5100,32.4700,32.4950,377959
2019-06-21 11:55:00,32.5100,32.5283,32.4750,32.4790,281947
2019-06-21 11:50:00,32.5707,32.5800,32.5100,32.5200,206031
